Placa;Categoria;Descrição do bem;Valor;Fornecedor;Série;NF;Data da compra;Departamento;Descrição do local;Responsável;Estado do bem;Última revisão do bem;Próxima revisão;Idade;Vida útil;Trocar / Reformar em:; Valor atual ;
x0040;Móveis e Utensílios;Cadeira Alta c/Braço;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0041;Móveis e Utensílios;Cadeira Alta c/Braço;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0042;Móveis e Utensílios;Cadeira Alta c/Braço;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0043;Trator de Aeronave;Cadeira Alta c/Braço;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;09/02/2027;#VALOR!;10,0;;;
x0044;Móveis e Utensílios;Cadeira Alta c/Braço;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0045;Móveis e Utensílios;Mesa de Reunião;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0046;Móveis e Utensílios;Cadeira Giratória de Apoio;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0047;Móveis e Utensílios;Cadeira Giratória de Apoio;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0048;Móveis e Utensílios;Mesa de Centro;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0049;Móveis e Utensílios;Mesa de Centro;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0050;Móveis e Utensílios;Mesa de Apoio Lateral;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0051;Móveis e Utensílios;Mesa de Apoio Lateral;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0052;Móveis e Utensílios;Mesa de Apoio Lateral;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0053;Móveis e Utensílios;Mesa de Apoio Lateral;;sem infor.;;S/NF;S/Infor.;Sede Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0054;Móveis e Utensílios;Mesa de Apoio Lateral;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0055;Móveis e Utensílios;Sofá de 05 lugares;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0056;Móveis e Utensílios;Sofá de 05 lugares;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0057;Móveis e Utensílios;Extintor Pó Químico;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
x0058;Móveis e Utensílios;Extintor - Água;;sem infor.;;S/NF;S/Infor.;Sede do Aeroclube;Hangar nº 0001;;Bom;08/02/2026;10/02/2027;#VALOR!;10,0;;;
